統一編號,公司名稱,電話,進口資格,出口資格,查詢時間
12868358,緯創資通股份有限公司,02-66169999,有 YES,有 YES,2025-09-25 09:41:21
00000201,,,,2025-09-25 09:41:22,
00000259,,,,2025-09-25 09:41:22,
00000379,,,,2025-09-25 09:41:22,
00000413,,,,2025-09-25 09:41:23,
00001047,,,,2025-09-25 09:41:24,
00001052,,,,2025-09-25 09:41:27,
00001270,,,,2025-09-25 09:41:30,
00001308,,,,2025-09-25 09:41:32,
00001362,,,,2025-09-25 09:41:32,
00001449,,,,2025-09-25 09:41:32,
00002003,,,,2025-09-25 09:41:32,
00002030,今盛環境淨化股份有限公司,0909319513,有 YES,有 YES,2025-09-25 09:41:33
00002453,,,,2025-09-25 09:41:33,
00002572,,,,2025-09-25 09:41:33,
00002670,,,,2025-09-25 09:41:34,
00002876,,,,2025-09-25 09:41:40,
00002881,,,,2025-09-25 09:41:42,
00003024,,,,2025-09-25 09:41:43,
00003538,秝驎國際股份有限公司,04-25666891,有 YES,有 YES,2025-09-25 09:41:43
00003621,,,,2025-09-25 09:41:43,
00003930,,,,2025-09-25 09:41:43,
00004234,,,,2025-09-25 09:41:44,
00004467,,,,2025-09-25 09:41:44,
00004706,,,,2025-09-25 09:41:44,
00005120,,,,2025-09-25 09:41:45,
00005700,大中福國企業有限公司,02-24223768,有 YES,有 YES,2025-09-25 09:41:50
00005780,,,,2025-09-25 09:41:51,
00005830,,,,2025-09-25 09:41:52,
00005846,,,,2025-09-25 09:41:53,
00005965,,,,2025-09-25 09:41:53,
00006471,,,,2025-09-25 09:41:53,
00006535,泰士科技股份有限公司,,有 YES,有 YES,2025-09-25 09:41:54
00006599,,,,2025-09-25 09:41:54,
00006824,,,,2025-09-25 09:41:57,
00007181,,,,2025-09-25 09:42:01,
00007295,,,,2025-09-25 09:42:02,
00007422,,,,2025-09-25 09:42:02,
00007719,樺盈創投股份有限公司,,有 YES,有 YES,2025-09-25 09:42:03
00007915,,,,2025-09-25 09:42:03,
00008105,泰全儲能科技股份有限公司,07-3534736,有 YES,有 YES,2025-09-25 09:42:03
00008180,,,,2025-09-25 09:42:04,
00008251,,,,2025-09-25 09:42:07,
00008554,,,,2025-09-25 09:42:11,
00008674,,,,2025-09-25 09:42:15,
00009028,,,,2025-09-25 09:42:17,
